NUMERO;LAM_NUMERO;TSA_NIMI;NIMI_FI;lat;lon;
23408;408;L_kt54_Hausjärvi;Tie 54 Hausjärvi;60.7911187961;24.9744534634;
23440;440;L_vt3_Lempäälä_Lippo;Tie 3 Lempäälä;61.2528524336;23.8363219539;
23401;401;L_vt3_Lempäälä_Sääksjärvi;Tie 3 Lempäälä, Kulju;61.409714619;23.7700021186;
23449;449;L_vt3_Tre_Sarankulma;Tie 3 Sarankulma;61.4605385665;23.7471616444;
23460;460;L_vt3_Pirkkala_Huovi;Tie 3 Pirkkala, Huovi;61.4526452969;23.635343207;
23463;463;L_vt3_Pirkkala_Sankila;Tie 3 Pirkkala, Sankila;61.4593800467;23.6177533542;
23462;462;L_vt3_Nokia_Rajasalmi;Tie 3 Nokia, Rajasalmi;61.47808667;23.5881387322;
23450;450;L_vt3_Myllypuro;Tie 3 Myllypuro;61.5154677821;23.5652257125;
23203;203;L_vt3_Hämeenkyrö;Tie 3 Hämeenkyrö;61.5861178622;23.4304412083;
23204;204;L_vt3_Ikaalinen;Tie 3 Ikaalinen;61.9104509924;22.9765868945;
23445;445;L_vt9_Kylmäkoski;Tie 9 Kylmäkoski;61.1139471037;23.6500610635;
23435;435;L_vt9_Tre_Karkuvuori;Tie 9 Karkuvuori;61.4622708882;23.8093632261;
23451;451;L_vt9_Tre_Aitovuori;Tie 9 Aitovuori;61.5241407485;23.9399142157;
23404;404;L_vt9_Kangasala_Suinula;Tie 9 Suinula;61.5545140786;24.0637188077;
23448;448;L_vt9_Längelmäki;Tie 9 Längelmäki, Solttila;61.7336753222;24.7038442566;
23406;406;L_vt11_Nokia_Linnavuori;Tie 11 Nokia;61.50189936;23.3673824687;
23210;210;L_vt12_Vammala;Tie 12 Vammala;61.3135605426;22.8385080251;
23438;438;L_vt12_Tre_Paasikiventie;Tie 12 Uittotunneli;61.5089057807;23.6985857764;
23453;453;L_vt12_Tre_Mustalahti;Tie 12 Särkänniemi;61.5023575089;23.7408546739;
23454;454;L_vt12_Tre_Tampella;Tie 12 Tampella;61.5064373541;23.7597217736;
23457;457;L_vt12_Tre_Petsamo;Tie 12 Petsamo;61.5064763357;23.786797323;
23439;439;L_vt12_Tre_Teiskontie;Tie 12 Tampere, Keskussair;61.5041648933;23.8219542316;
23458;458;L_vt12_Tre_Ruotula;Tie 12 Ruotula;61.5131733254;23.8524068562;
23431;431;L_vt12_Kangasala_Suorama;Tie 12 Suorama;61.4782423885;23.9721708867;
23456;456;L_kt65_Tre_Lielahti;Tie 65 Tampere, Lielahti;61.5117390478;23.6790995652;
23455;455;L_kt65_Tre_Epilänharju;Tie 65 Tampere, Epilänharju;61.5176703528;23.6530496303;
23421;421;L_kt65_Ylöjärvi;Tie 65 Ylöjärvi;61.5435337612;23.6066172954;
23409;409;L_kt66_Ruovesi;Tie 66 Ruovesi;62.0105616348;24.030835698;
